UTC,Lat,Lon,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz
0.0,0,0,0,52.35417228657415,-0.3823016583298719,1.0007762754280933,-0.7550312473981892,-0.015984586819534168,9.820302424483746,-0.004163425334442272,-0.008513352752126464,-0.006404820160497981
0.01,0,0,0,51.42350318615594,0.5994818455215837,-0.15417475775874784,-0.6857092404414346,0.03814118670263554,9.770599057472708,-0.006366102891043216,0.0011885287712778728,0.02256778525987524
0.02,0,0,0,48.840191411577244,-0.49944732296730876,0.12964438811842016,-0.7705936263004073,0.007674034843458848,9.819145444716682,-0.0077540726241789515,-0.008941939977857057,0.0032880707434182394
0.03,0,0,0,48.95555927224773,-0.6567284003511543,0.6955611650869397,-0.7730230353901951,0.053105166471191886,9.747347595210453,-0.011500004128819179,0.013063148130291198,0.01676490366752758
0.04,0,0,0,48.86812971193564,1.0426680528369463,-0.16136530378505853,-0.7871222051491328,-0.0007507607746469877,9.770968399887717,0.00819695549846243,-0.002371628293016646,-0.0027005010356871105
0.05,0,0,0,51.287231286623694,-1.2272432345263806,0.48568114676977947,-0.7918103474280348,0.05501936671774985,9.757658188139347,0.0001332287462648329,-0.015581519863633162,-0.005236412180070414
0.06,0,0,0,49.577696293204134,-1.4249935347204534,-0.721164973392729,-0.7093688224666609,0.022073107076305134,9.78081017250374,-0.01011732529524027,-0.019296115272074768,0.015623269429455857
0.07,0,0,0,51.83192715842702,0.9679477271899762,1.7911974556288652,-0.8434426200116253,-0.0310143185221026,9.929418242963584,0.010229397931615683,0.004843070808150059,0.011974715490104742
0.08,0,0,0,49.503805597308485,1.328935045834226,-0.9918083248177122,-0.8215665676783026,-0.050289239987482005,9.758420697524773,0.003939484342094324,-0.026298773841983772,0.013247030953106864
0.09,0,0,0,50.96908925735128,0.2624682191448764,1.9763784790289523,-0.7339554851252683,0.061095886225845664,9.81514630666361,0.0062777701264819345,-0.01026234349441274,0.00045548855117995095
0.1,0,0,0,50.73605443502981,0.34454708385877564,3.3066999581603547,-0.8786659971732107,-0.02537332676097672,9.713941951792359,0.004161626127570429,-0.0021302326863605367,-0.0017587182487937318
0.11,0,0,0,50.98610753747553,0.6088493735733688,0.47108388381845834,-0.7490665439255939,-0.0083324776804514,9.776265647485179,-0.008107197890777018,0.004370282876613553,-0.005265390707062725
0.12,0,0,0,50.781322533921845,0.6454442665800951,-0.3636525737980122,-0.7837460562015294,-0.01832974925623633,9.823858559974582,0.021695129671175796,0.0054081933800736014,0.004233422350764492
0.13,0,0,0,49.95906919140442,-1.5449823516882488,1.4004944015861764,-0.9404171496809706,-0.11416413983354444,9.847398756512588,0.004687992645593368,-0.0014798644870438339,0.023622878422893435
0.14,0,0,0,50.5153605184811,2.3999140450992433,0.33187172827709954,-0.7313987455382571,0.023487541418913793,9.868788142012706,-0.016608800184754823,0.0009468729965189885,-0.00830025952993553
0.15,0,0,0,50.07935421319678,2.3117343840202444,-1.1949604504001048,-0.7568479111120396,-0.05723379297477453,9.80912634614099,-0.0041420842562175176,0.018010008919964852,-0.010798181109438674
0.16,0,0,0,49.69312441525524,-0.44168532056756815,0.9799831864895177,-0.7678462274472998,-0.008748920669197281,9.77594339883371,0.013161056882959543,0.017159623425060114,0.0065798613478238845
0.17,0,0,0,51.02500301690907,0.3047529622279772,0.9620377938348682,-0.7970707694758149,-0.019845854124011936,9.785158403916245,-0.004848276885133056,0.00029062170422353926,-0.01231290813505703
0.18,0,0,0,51.5894692162704,0.7889908606380378,1.9492812257763117,-0.8055806578729369,0.0164177020570071,9.839774875225087,0.006070378896355,-0.011688922135815976,-0.0019245683059825255
0.19,0,0,0,50.539410939674696,2.2723006528180356,1.3757304312950525,-0.7898503825573572,-0.03247430684465201,9.819331433989987,-0.007322046718107094,0.008998737776117946,-0.00853922283423931
0.2,0,0,0,50.61478458828358,2.240446072498764,2.0532733822999445,-0.8177698342237792,-0.008594596418869881,9.773292949728196,-0.0011133091006965646,-0.00523283284061269,-0.007612470525822723
0.21,0,0,0,50.20565668164773,2.355621584649085,1.7118693267500422,-0.7771875421990624,0.054683538137643165,9.77615923693634,0.013851491899263137,0.009095612185192928,0.0003983159680409445
0.22,0,0,0,48.206581094370186,1.689112922135183,0.8231764733066744,-0.7761925305606839,-0.04217934021854239,9.763789859173825,0.0020831472415727818,-0.01144344197377351,0.00732223303321727
0.23,0,0,0,53.10009399156907,0.05601318302259095,1.5461405701408406,-0.8112092811801176,-0.03438797446559713,9.66589151197061,-0.0034189701323470104,-0.008676909742059603,-0.008550145487595863
