Time_Step,Qw,Qx,Qy,Qz
0,0.9999804438268325,0.006210378601255173,-0.0006970882106734208,-0.00023922697765293153
1,0.9999067157588161,0.0132893011377589,-0.003093345345488135,-0.0006208625143520668
2,0.9997907655259876,0.019646954006470038,-0.005584618453471467,-0.0011110373335871944
3,0.9996173781667885,0.0263168747220576,-0.008357552757146022,-0.0016342226687308
4,0.9994107194148405,0.03239071438669371,-0.011178216308312844,-0.0020255913691994173
5,0.9992058893592382,0.037693512262179804,-0.012728120770304992,-0.0021874059548971413
6,0.9989964432928872,0.042265240190887295,-0.014551961275229813,-0.0028277522543308786
7,0.9988106391152157,0.04615119812565113,-0.015409666392390779,-0.003149013098830391
8,0.9986358374913149,0.04908730343124481,-0.017048400125893058,-0.005123745994536993
9,0.998497077197789,0.05134895246985172,-0.017955457780513197,-0.006668841249694532
10,0.9984010168912691,0.05304512719565146,-0.01808360586548108,-0.007389665092469387
11,0.9983279451403827,0.05404294007600897,-0.018299842087724862,-0.009262308528998876
12,0.998361545239955,0.053553760988392,-0.017280444511090738,-0.010373326736701162
13,0.9984235512419449,0.05253435606216323,-0.015896298892146207,-0.011741441141902273
14,0.9984929567608101,0.050855016197533034,-0.014692391477555753,-0.014481583451889705
15,0.9986128908357653,0.047665589337153064,-0.012954744199375557,-0.018233498087486727
16,0.9987269203618571,0.044979956184425574,-0.010793898599228965,-0.020120483075651764
17,0.9988552845199437,0.04110258566680391,-0.008329006422571561,-0.023007079130089945
18,0.9989466046091688,0.03705977258963817,-0.005864370680598828,-0.026417107183369416
19,0.9989810223765524,0.03267158732441295,-0.0037908788134937916,-0.030904911438523933
20,0.999030584752209,0.028856363982677494,-0.0013742637111552596,-0.033216146474431836
21,0.9990291773836756,0.02505977574413366,0.0007549903575962629,-0.03622347809515265
22,0.9990629903925617,0.021759204476213663,0.003139303475405838,-0.03728033023088196
23,0.9990029455341416,0.018300340793534143,0.004947879383437188,-0.04041943629686704
24,0.998904416126524,0.01520477672198885,0.006275907637702454,-0.0438109026508876
25,0.998868526324736,0.012478442180031997,0.007843666820785671,-0.045215401020164234
26,0.9988258978069402,0.01006313169197948,0.009454028551552049,-0.04643469171703413
27,0.9987435034194396,0.00785313214510728,0.010575396683083152,-0.04835187357249678
28,0.9986492464259107,0.0056956332859788945,0.011586465115485892,-0.050328880382541075
29,0.9985646193774296,0.0037532054069676574,0.012364108768538348,-0.051978295385111555
30,0.9985200643009137,0.0021578837816904764,0.013352853017409494,-0.05267566840942412
31,0.9984881417129043,0.0006441703504638002,0.014344826767128487,-0.05305885268540412
32,0.9984361322160693,-0.0007725224196978595,0.014920006999177806,-0.053871017121186755
33,0.9983914543812683,-0.0022483959376496695,0.01572317705346814,-0.05442637446596101
34,0.9983590973276595,-0.0034914070727555314,0.01654602114066507,-0.05470970703783604
35,0.9983279346622655,-0.004681800941726654,0.017380231965086382,-0.054930348167082005
36,0.9982794106736386,-0.006126257963525667,0.017762516411468757,-0.05554439845015417
37,0.9982571896295389,-0.007239167308128635,0.01818628933036099,-0.05567258472544866
38,0.9982305851932857,-0.00849511702792047,0.018730069035202006,-0.05579172237249106
39,0.9982181905589187,-0.009626705952993484,0.019202103679882343,-0.055669109783071116
40,0.9981964672342298,-0.010465612724495634,0.020147802246144243,-0.055572923407488505
41,0.9981652865895398,-0.011311716123247462,0.020600986227506418,-0.05580058326239051
42,0.9981527196346256,-0.01258025597949446,0.020759005399074344,-0.05569514467466885
43,0.998125906448484,-0.013341797440986692,0.021458636112332213,-0.055733277793740654
44,0.9980982870697251,-0.014298796078978446,0.02195568947305454,-0.05579696657467278
45,0.998082160653628,-0.015174389290606423,0.022327727053451766,-0.055706472687377086
46,0.9980310862071973,-0.01581611964564901,0.023219716576634946,-0.056077144056533225
47,0.9980038886449493,-0.0167353777724563,0.023389189654087757,-0.056223759992531944
48,0.9979716731656804,-0.017634287506444326,0.023679096364061764,-0.05639921859754912
49,0.9979796813300982,-0.01867532924735582,0.02361449507221429,-0.05594768406523118
50,0.9979767535570477,-0.019495973765415713,0.02394030240891605,-0.055580286858230805
51,0.9979698060703234,-0.020167896207828395,0.024182940510573018,-0.05535980060272653
52,0.9979545899541821,-0.02082687800713224,0.024583488073175508,-0.05521349161221656
53,0.9979372061123575,-0.02160546104891063,0.024950329999821903,-0.05506376069999497
54,0.9979287280873008,-0.022300861765158417,0.025234967396191976,-0.05480986811794527
55,0.9979419464210907,-0.023178347810142174,0.025239706491086138,-0.05419956625583922
56,0.997953709056005,-0.023885314996601157,0.025355645078858378,-0.053618817326669295
57,0.9979459517397204,-0.024476613584014595,0.025744070712871915,-0.05331055821216956
58,0.9979050025790973,-0.0248260210552458,0.02627594652301503,-0.053654907888244244
59,0.9978528382654943,-0.02534389731332493,0.026835401083854186,-0.0541041706630619
60,0.9978495313703015,-0.02617925073045025,0.02678532357455681,-0.05379131915344995
61,0.9978448193994172,-0.026743976789073004,0.026819252699510215,-0.053583614919950916
62,0.9978136502734287,-0.027285846236376293,0.027250970953610742,-0.05367295878993482
63,0.9977686162808398,-0.027698844569736498,0.02765213014323476,-0.054091793028717104
64,0.9976710069818292,-0.027904351702734847,0.02847148391862139,-0.05534693837408481
65,0.997626932834618,-0.028529879735117232,0.02840621406961796,-0.05585370039239297
66,0.9975372560694499,-0.028731850238640638,0.029012896488323888,-0.05702767199048806
67,0.997543257801637,-0.029659333329169327,0.028487825801780265,-0.05671169669524599
68,0.9975658024577512,-0.030354855103317785,0.028236499322513802,-0.05606917731239936
