Time_Step,Qw,Qx,Qy,Qz
0,0.9963242599049913,-0.013245657595758561,-0.0846305775133401,0.00043246894168308907
1,0.9635667324307549,-0.03762308642425017,-0.26456159546973246,-0.011437557568870112
2,0.9007198211166652,-0.059327378427056564,-0.4301632606797698,-0.01198478943844677
3,0.8901053065371193,-0.06229069248468715,-0.45117962540768713,-0.016412145539750633
4,0.8834503665031199,-0.061677817480930756,-0.46442727625172653,-0.004312983850496957
5,0.8864633649045686,-0.05979503250252317,-0.45891433134903936,-0.0022120697447593984
6,0.8876627590338105,-0.06018546137236392,-0.45629584510006915,-0.015054507906019882
7,0.8877137137335285,-0.06027124138393462,-0.4561806721610779,-0.015196521251058902
8,0.8831072388305913,-0.05966160801754518,-0.46523933376749227,-0.010698577912501242
9,0.8806210931300865,-0.060277964009457716,-0.46979618289671266,-0.012829806114070433
10,0.8820159896074407,-0.061135207893628064,-0.4669787205838634,-0.015529164641671209
11,0.8797151958590321,-0.06014615527369524,-0.47135865657869935,-0.017453682958653856
12,0.8757632205710694,-0.05869636139556232,-0.4788790323828145,-0.016382643193615563
13,0.8732317084902803,-0.05770217024535671,-0.4835789265110665,-0.01697835888791193
14,0.8725316794374098,-0.05737033654291831,-0.48479476151064155,-0.019265307548174945
15,0.8712747454269302,-0.057082053338253745,-0.48707235481642047,-0.019557053497751983
16,0.8722561952401375,-0.05703369014141299,-0.48516468334521395,-0.023054676067791064
17,0.873478385046998,-0.05804923870654569,-0.48283488107617417,-0.023157598265694697
18,0.8723269098916068,-0.06042184837412928,-0.48471423873877467,-0.021144012909196104
19,0.8744738252124591,-0.062442862718241406,-0.48062487498988676,-0.019903453338452882
20,0.874816758739051,-0.060703346447674444,-0.48021486998217017,-0.020110221464774706
21,0.8781393451772536,-0.057581306979287164,-0.4744804545075173,-0.02059081903571088
22,0.8739652507971302,-0.05563998942053162,-0.48236240607351927,-0.020382374330727693
23,0.8718745972121302,-0.057451857932349894,-0.48595827821880966,-0.019455656938713258
24,0.8740950135461603,-0.05879538762144624,-0.4818169070812827,-0.018801003664922163
