Time_Step,Qw,Qx,Qy,Qz
0,0.9999807434946804,0.002079295175647816,0.00584713802967846,-1.2176230476235719e-05
1,0.999747542532609,0.009151630017576691,0.020517762841523242,0.00034680831829169117
2,0.9982714907479882,0.02991353012829109,0.04951992173855865,0.01034354030591603
3,0.9937945966600852,0.05791520671546443,0.09479182179989516,0.005713055240452698
4,0.9866589531938038,0.0862573256921199,0.13404728126276239,0.03309244978862801
5,0.9706758074332889,0.13144337893096616,0.19906788995486174,0.029716833409068416
6,0.9662997709630328,0.1397401963824951,0.21443904989614884,-0.027446749013487308
7,0.95333622409233,0.1602948067469721,0.25464268383350863,-0.024753228746919827
8,0.9603136707079951,0.15051470349952867,0.23052529996060442,-0.044733253401225394
9,0.9584547936618688,0.1518911243752354,0.23538638310657967,-0.05372844210112255
10,0.9578610968851917,0.1523612215789517,0.23724428728166458,-0.05480260381662503
11,0.9578783819742461,0.15500543061780533,0.23840822506945225,-0.04004797179162151
12,0.95990881095878,0.1520723212968956,0.23233427964316256,-0.03833883464279698
13,0.9574698421927607,0.15659755354295762,0.2392637460229548,-0.03849113345685766
14,0.9564726687039466,0.16036582603987712,0.2415058028407888,-0.033433262705340916
15,0.9558386318171794,0.16162621566172483,0.2430854497123266,-0.034043214814232926
16,0.956635795631875,0.15893920179918525,0.24142685278445064,-0.03604662816135272
17,0.9566192924018445,0.15880278059517114,0.24151230516560457,-0.03651044690814038
18,0.9543834501428959,0.16370892696648268,0.24712573479087238,-0.03578391438756954
19,0.953686478883318,0.16641682023121207,0.24817884430807724,-0.03456592508784377
20,0.954198542792293,0.1659374332625181,0.24661454544060538,-0.033928972168859504
21,0.95332296395403,0.17118933795263255,0.24659508679415765,-0.032563785686320804
22,0.9523537066375756,0.1753106600535102,0.24750057282859253,-0.032125634231746546
23,0.9478001153653719,0.18871228503624132,0.25475978264835175,-0.034059770033760386
24,0.9489637855965591,0.18590442392082304,0.25274255985156546,-0.0320698804580308
25,0.9500077296682072,0.17910487431333522,0.2535954388186933,-0.033107566781888476
26,0.9513925066717627,0.17026724722169662,0.2543555160244074,-0.03412673790919849
27,0.950965048757687,0.17324665382259882,0.2539942304059708,-0.03373431340699382
28,0.951620903538372,0.16668575467303906,0.25593907631711343,-0.03359619549643894
29,0.9514720009570925,0.1778495171457243,0.24873068633269388,-0.034693318120440096
30,0.9493602273472124,0.18387836922432968,0.2522624031719894,-0.03560314604839051
31,0.9492653669470954,0.18610645199463036,0.25107263571398886,-0.03495973736167079
32,0.9494169828540349,0.1862849710735073,0.2504111431717243,-0.03463468775539932
33,0.9493344038688615,0.18543333434658232,0.2514532204053068,-0.033910855074183344
34,0.9483185340410744,0.18681825984143582,0.2542139406617455,-0.034149204342588384
35,0.9492280359693449,0.1838196421163497,0.2530517149559111,-0.03378319789288059
36,0.9486906714436361,0.19090886230979245,0.24970816501218535,-0.03443324750369791
37,0.9499763993126161,0.18757031546063457,0.2475794663099983,-0.032659230987443756
38,0.9502036356594635,0.1868761170227422,0.24722034953688848,-0.03274853341599307
39,0.950051321154441,0.1811137079196713,0.25223593323164684,-0.03126253289561348
40,0.9506447107593413,0.1754172340481532,0.25410603757125033,-0.030554043497088294
41,0.9509323996942136,0.1768879478587888,0.25182705250358667,-0.0319587349791363
42,0.9498786140638678,0.1781991230886602,0.25500497053518795,-0.030792143103176416
43,0.949737243004641,0.17371930562569876,0.2586908388297707,-0.029997033326951375
44,0.9515732590383613,0.17072088445506198,0.25345241206216157,-0.03353486415457034
45,0.9507976062340551,0.17619118772357054,0.2525464656244189,-0.03407139634300958
46,0.9494357575048039,0.18041237026064144,0.2546414319833379,-0.034363645698488716
47,0.9484515460727845,0.179484936508481,0.2589427560636275,-0.03425596883557647
48,0.9481753419953404,0.178582417161225,0.26052699823745384,-0.03460526408301726
49,0.9479425048030564,0.18541356640686857,0.2566962750078535,-0.03367253149208667
50,0.9495825366718812,0.17963147733451862,0.2548425920260656,-0.03287539639076805
51,0.9514442482844003,0.17347541206380068,0.2522250132235817,-0.032290347167392146
52,0.9516791943086155,0.17721948751968156,0.24846896959409598,-0.03410477257238315
53,0.9523944727676753,0.16642925045737958,0.2536781067486321,-0.02989131964645057
54,0.9514347597592636,0.17228225812715123,0.2531774466039738,-0.03149447550815868
55,0.9507521280937152,0.17694446905392713,0.2524746078283504,-0.03190012850156529
56,0.9514586519377219,0.1782956562215785,0.24881822126154182,-0.03204037130889534
57,0.9514173254099514,0.18222445056835082,0.2460225214383925,-0.03274509841080172
58,0.9527051109733053,0.1776479446925127,0.24466780675392172,-0.030526113576630327
59,0.9542979605422252,0.1766763754158409,0.2391569243701109,-0.030080332456596953
60,0.9524347816618284,0.18148926717784283,0.24257620833253055,-0.032960821152505856
61,0.9528730379387235,0.18058177716052518,0.2416231001607952,-0.03227185764192835
62,0.9520340518222626,0.18181770958061097,0.24389643125744953,-0.032985079560708924
63,0.9519368442122866,0.18699054795014275,0.24030220737199712,-0.03325099608438641
64,0.9530084352284129,0.17809226407349718,0.24306638202628458,-0.03125382839460832
65,0.9528715712346182,0.17775870351441236,0.24385814582578672,-0.03115793273236242
66,0.9519198468112577,0.17774390091648898,0.24763891712318692,-0.030507010012064174
67,0.9500828824762324,0.17646272218163273,0.2555945130853499,-0.02957818430134328
68,0.9480279337050354,0.1784241414131368,0.26229996998896576,-0.024629015809278405
69,0.9475374626555101,0.17456804897613715,0.265793604753387,-0.032442453871792315
70,0.9492962084569041,0.17169332062596313,0.2598787429615164,-0.04267494837160023
